id,name,location,is_open,phone_number
1,سون سنتر,جنوب میدان هفت حوض، مرکز تجاری سون سنتر، طبقه‌ی فود کورت، شماره‌ی ۵۰۲,Open,۷۷۹۷۳۸۶۶
2,ویونا اکسپرس پارکساید,پارک پلیس شمالی، فوت کورت پارک ساید,Closed,۷۷۰۷۴۵۲۷
3,پلاتینیوم,سوهانک، انتهای بلوار ارتش، خیابان شهید سوهانی، مرکز خرید پلاتینیوم,Open,۲۶۲۴۳۴۷۸
4,شمیران سنتر,بلوار ارتش، مرکز خرید شمیران سنتر,Open,۴۰۲۲۰۶۷۷
5,سیوان سنتر,تهرانپارس بین فلکه دوم و سوم، سیوان سنتر,Closed,۴۰۷۷۴۷۸۸
6,ویونا پلاس گپ,جهان کودک، بزرگراه حقانی، خیابان علّامه شهیدی ،کوچه‌ی کمان شرقی، مجموعه‌ی گپ، کافه ویونا پلاس,Open,۸۸۲۰۰۶۱۰
7,برج نگار,خیابان ولیعصر، بالاتر از میدان ونک، برج نگار، طبقه‌ی اول,Closed,۸۸۶۴۱۴۴۴
8,اکسپرس راه چوبی,جهان کودک، بزرگراه حقانی، خیابان علّامه شهیدی، فودکورت راه چوبی,Open,۸۸۱۹۴۵۰۰
9,اکسپرس باغ کتاب تهران,زرگراه حقانی، مسیر غرب به شرق، بعد از تقاطع بزرگراه شهید مدرس، خروجی کتابخانه‌ی ملی,Open,۸۸۳۹۴۱۹۰
10,کافه مرکز خرید اوپال,میدان کتاب، بلوار کوهستان، مرکز خرید اوپال، طبقه‌ی A3,Closed,۲۶۳۵۰۹۵۱
11,کافه ویونا سعادت آباد,سعادت آباد، بالاتر از مجتمع فنی تهران، نبش بلوار بهزادی، مجتمع تندیس,Closed,۲۶۷۶۶۳۲۱
12,مرکز خرید آرن,یادگار امام شمال، خیابان حافظی(ارغوان)، نبش خیابان فخار مقدم، مرکز تجاری آرن، طبقه‌ی اول,Open,۷۵۹۳۵۳۰۰
13,کافه ویونا کوروش مال,اتوبان ستاری، نبش خیابان پیامبر، مجتمع فرهنگی تجاری کوروش، جنب هایپر مارکت,Open,۴۴۹۷۱۵۴۴
14,شهرک اکباتان,شهرک اکباتان، فاز ۱، خیابان راه آهن، بازارچه‌ی ۸، شماره‌ی ۲,Closed,۴۴۶۹۵۴۸۱
15,مرکز خرید پلاتین,شهرک غرب، بلوار فرحزادی، نبش سیمای ایران، مرکز خرید پلاتین,Open,۸۶۰۹۰۸۲۷
16,کافه ویونا بام کوروش مال,اتوبان ستاری، نبش خیابان پیامبر، مجتمع فرهنگی تجاری کوروش، طبقه پنجم، بام کوروش,Open,۴۴۹۷۱۴۷۹
17,کافه ویونا فودکورت رویال تراس,تقاطع بلوار سعادت آباد، بلوار دریا، مجتمع اداری تجاری رویال مال، طبقه‌ی دوم,Open,۴۰۸۸۰۸۱۸
18,مرکز خرید پالادیوم,خیابان زعفرانیه، خیابان مقدس اردبیلی، مرکز خرید پالادیوم، طبقه‌ی همکف,Closed,۲۲۶۶۸۷۸۱
19,مرکز خرید ارگ,میدان تجریش، ابتدای خیابان ملکی(سعد آباد)، مرکز خرید ارگ,Closed,۲۲۳۹۶۲۸۸
20,بازار قائم تجریش,میدان تجریش، بازار قائم، طبقه‌ی پنجم، شماره‌ی ۲۱۷۴,Open,۲۲۷۲۱۶۸۸
21,کافه ویونا موزه‌ سینما,بالاتر از زعفرانیه، ایستگاه باغ فردوس، موزه سینمای ایران,Open,۲۲۷۴۲۵۵۸
22,مرکز خرید روشا,خیابان نیاوران، سه راه عمار، مرکز خرید و دپارتمان استور روشا,Closed,۲۶۸۵۱۲۸۴
23,کافه ویونا مرکز خرید گالریا,ولنجک، انتهای خیابان سیزدهم شرقی، طبقه‌ی همکف,Open,۲۲۴۱۲۹۶۲
24,کافه اکسپرس گالریا,ولنجک، انتهای خیابان سیزدهم شرقی، طبقه‌ی پنجم، فودکورت,Open,۲۶۶۴۱۹۸۳
25,سانا سنتر,بلوار اندرزگو، نبش کوچه‌ی زمانی، مرکز خرید سانا، طبقه‌ی همکف شمالی,Open,۷۴۴۳۸۷۳۰
26,توچال,توچال، ایستگاه اول,Closed,۲۶۱۸۰۳۵۱
27,هروی سنتر, میدان هروی، خیابان موسوی، نبش خیابان نازک، مرکز خرید هروی سنتر، طبقه‌ی اول,Open,۲۶۷۵۸۴۰۹
28,پریس سنتر,خیابان پاسداران، نبش گلستان یکم,Closed,۹۱۰۰۱۲۴۲
29,مرکز خرید و فود کورت نگین ظفر,خیابان شریعتی ،روبروی خیابان ظفر، مجتمع نگین ظفر,Open,۲۲۸۹۷۱۹۲
30,فود کورت قلهک,شریعتی، قلهک,Open,۲۲۶۰۳۰۶۵
31,کافه ویونا برج میلاد,بزرگراه حکیم غرب، برج میلاد تهران، راس برج، ارتفاع ۲۶۶ و ۲۸۰,Closed,۸۸۶۲۰۳۳۷
32,دریای نور,خیابان دکتر بهشتی(عباس آباد)، خیابان سرافراز، مجتمع دریای نور، شماره‌ی ۴۹,Open,۸۸۱۷۱۹۷۷
33,کافه ویونا سهروردی,خیابان سهروردی شمالی نبش توپچی,Closed,۸۸۵۲۴۴۶۱